gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,AvgMonthlySpend,ServiceCount,ContractRiskScore,ElectronicCheckFlag,TenureGroup,HighSpendFlag,Cluster,RiskSegment
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,29.85,29.85,1,3,1,3,0,1,Medium Risk
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,1936.3,55.5735294117647,3,2,0,2,0,1,Medium Risk
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,107.7,54.075,3,3,0,3,0,1,Medium Risk
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,1903.5,40.90555555555556,3,2,0,2,0,1,Medium Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,141.4,75.825,1,3,1,3,1,2,High Risk
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,797.2,102.5625,5,3,1,3,1,2,High Risk
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,1960.2,88.60909090909091,4,3,0,0,1,2,High Risk
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,297.5,30.19,1,3,0,3,0,1,Medium Risk
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,2934.4,108.7875,6,3,1,2,1,2,High Risk
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,3481.3,56.25725806451613,3,2,0,1,0,1,Medium Risk
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,649.35,45.18846153846154,2,3,0,0,0,1,Medium Risk
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,303.2,20.425,1,1,0,0,0,1,Medium Risk
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,5820.299999999999,97.95,5,2,0,1,1,0,Low Risk
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,5081.3,102.78163265306122,6,3,0,1,1,0,Low Risk
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,2637.5,107.442,6,3,1,2,1,2,High Risk
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,7814.25,114.42246376811592,8,1,0,1,1,0,Low Risk
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,1073.8,19.672115384615385,1,2,0,1,0,1,Medium Risk
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,7575.7,103.97535211267606,6,1,0,1,1,0,Low Risk
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,552.0,52.835,3,3,0,3,0,1,Medium Risk
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,1891.05,88.70952380952382,4,3,1,0,1,2,High Risk
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,39.65,39.65,2,3,1,3,0,1,Medium Risk
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,237.6,16.854166666666668,1,2,0,3,0,1,Medium Risk
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,20.15,20.15,1,3,0,3,0,1,Medium Risk
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,3474.2,60.43275862068965,4,1,0,1,0,1,Medium Risk
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,2920.4,60.61836734693878,4,3,0,1,0,1,Medium Risk
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,1659.0,51.02,3,3,0,2,0,1,Medium Risk
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,4669.45,101.04574468085106,5,3,1,2,1,0,Low Risk
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,30.2,30.2,1,3,1,3,0,1,Medium Risk
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,6498.0,88.46458333333334,8,1,0,1,1,0,Low Risk
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1099.9,64.3,3,3,0,0,0,1,Medium Risk
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,6840.849999999999,95.30915492957746,6,1,0,1,1,0,Low Risk
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,191.0,90.825,4,3,0,3,1,2,High Risk
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,1786.0500000000002,69.42407407407407,5,2,0,2,1,2,High Risk
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,20.2,20.2,1,3,0,3,0,1,Medium Risk
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,45.25,45.25,1,3,0,3,0,1,Medium Risk
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,7192.8,100.71805555555557,6,1,0,1,1,0,Low Risk
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,348.5,63.38,1,3,1,3,1,2,High Risk
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,3440.8,77.13695652173914,2,3,0,2,1,2,High Risk
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,3615.9,104.38970588235294,6,3,1,2,1,2,High Risk
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,1076.35,100.4909090909091,5,3,0,3,1,2,High Risk
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,495.5,47.57,2,2,0,3,0,1,Medium Risk
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,4844.0,69.605,5,1,0,1,1,0,Low Risk
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,352.75,24.602941176470587,1,2,0,0,0,1,Medium Risk
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,5030.549999999999,77.16587301587302,7,1,0,1,1,0,Low Risk
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,990.6,75.49615384615385,6,3,1,0,1,2,High Risk
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,4140.5,79.72857142857143,3,3,1,1,1,2,High Risk
